tag,r,q,sample,mp_var,var,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,38,-0.007011230477226577,-0.01242593899489797,-5.6601855906485656e-5,-0.020154168913448824,0.0027461348817498523,-1,TRUE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,39,-0.007018359025590563,-0.012503772879748853,-5.3761018504239444e-5,-0.019692734496082363,0.0026525472877018948,-1,TRUE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,40,-0.006989737699394945,-0.01249070942029562,-2.6692094826680175e-4,-0.019771636321853924,0.0027347641035356304,-1,TRUE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_2y,0,0.008446105367231062,0.007452500206685837,0.011446452130970801,0.00670825007317585,0.013583074231620768,1,TRUE,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_2y,1,0.009589038403526763,0.0075693862481624645,0.012784839619518183,0.006368836448523095,0.01517397167257662,1,TRUE,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_2y,2,0.008621454579498776,0.005525416593768231,0.010409006386801888,0.0040980374435894695,0.012768502685983512,1,TRUE,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_2y,3,0.009297257067529265,0.005657431212427351,0.011051717026675787,0.0037563237493426355,0.013500658052876743,1,TRUE,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_2y,4,0.008729090749805248,0.0042937618844595335,0.010208807949180427,0.0021742042967016974,0.012603784111698064,1,TRUE,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_2y,5,0.008490921253665953,0.0035206710637183613,0.009571763453435097,0.0012147600391043908,0.012537059091296812,1,TRUE,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_2y,6,0.007912960524985373,0.003133490148369151,0.00951857773447536,0.0010753549658530427,0.012156336742166065,1,TRUE,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_2y,7,0.006872636572971792,0.002051011872984706,0.008609037262784414,-2.576529870972279e-4,0.011239908145890508,1,TRUE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_2y,8,0.005595010493920446,7.244055962604604e-4,0.007558020985445668,-0.002061639118852142,0.009980713503520935,1,TRUE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_2y,9,0.0041314664347655615,-4.8234393623608257e-4,0.00638750450382403,-0.003854692203501696,0.008767929553631022,1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_2y,10,0.003223931732322258,-0.0012252189252593177,0.005841697301245736,-0.00505393965266099,0.008768026405179293,1,FALSE,FALSE
